Inizio traning con:  {'name_model': 'distilgpt2', 'eightbit': False, 'name_dataset': 'wikitext', 'device': 'cuda', 'target_sparsity': 0.9, 'ppl_tolerance_frac': 0.05, 'beta': 3.0, 'R_limit': 30, 'num_searches': 128, 'top_k': 64, 'C': 1.5, 'batch_size': 32, 'num_iterations': 10, 'num_selfPlay_iterations': 10, 'num_epochs': 5, 'kl_threshold': 0.05}
[utils] distilgpt2:    786 blocchi da 64 neuroni
[utils] text dataset ('wikitext', 'wikitext-2-raw-v1') – 10 sequenze da 128
PPL baseline (distilgpt2 full): 1441.50


--> inizio ad imparare

Loss:  tensor(12531.1104, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12356.4648, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12356.3555, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12355.7197, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12356.1270, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12355.7715, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12355.4727, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12355.2070, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12355.7393, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12354.7617, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 0] Epoch 1/5 – mem 300
Loss:  tensor(12355.1270, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12355.1611, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12354.2031, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12354.2646, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12354.7734, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.8955, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.7178, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.7588, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.8604, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.1484, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 0] Epoch 2/5 – mem 300
Loss:  tensor(12353.6621, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.9648, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.3145, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.1885, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.4521, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.2412, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.1279, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.8369, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.0410, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.2334, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 0] Epoch 3/5 – mem 300
Loss:  tensor(12353.3262, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.2129, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12352.9590, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.1982, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.2031, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12352.9385, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12352.8701, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.0059, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12352.6943, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12352.9297, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 0] Epoch 4/5 – mem 300
Loss:  tensor(12352.9619, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12352.6182, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12352.8369, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12352.8604, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12352.8271, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12352.9355, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.1611, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.0557, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12352.7930, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12353.4277, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 0] Epoch 5/5 – mem 300
Loss:  tensor(12121.1064, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.9482, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.7051, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.9189, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.7451, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.8428, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4248, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.6934, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.6758, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3398, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 1] Epoch 1/5 – mem 300
Loss:  tensor(12120.4541, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.6357, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.5098, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.5254, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.5430, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4307, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3945, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.5527, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4971, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4072, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 1] Epoch 2/5 – mem 300
Loss:  tensor(12120.4307, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.6572, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.5225, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3643, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4316, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4795, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4238, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4443, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4189, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.6680, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 1] Epoch 3/5 – mem 300
Loss:  tensor(12120.5664, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4316, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.6016, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3447, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3809, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3330, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.5732, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3438, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4307, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4219, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 1] Epoch 4/5 – mem 300
Loss:  tensor(12120.3828, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4775, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4482, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3506, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3604, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3691, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3809, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3311, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.3574, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(12120.4893, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 1] Epoch 5/5 – mem 300
