Inizio traning con:  {'name_model': 'distilgpt2', 'eightbit': False, 'name_dataset': 'wikitext', 'device': 'cuda', 'target_sparsity': 0.9, 'ppl_tolerance_frac': 0.05, 'beta': 1.0, 'R_limit': 30, 'num_searches': 64, 'top_k': 32, 'C': 1.5, 'batch_size': 32, 'num_iterations': 50, 'num_selfPlay_iterations': 100, 'num_epochs': 50, 'kl_threshold': 0.1}
[utils] distilgpt2:    786 blocchi da 64 neuroni
[utils] text dataset ('wikitext', 'wikitext-2-raw-v1') – 10 sequenze da 128
PPL baseline (distilgpt2 full): 1441.50


--> inizio ad imparare

Loss:  tensor(1394.3895, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1335.5839, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1335.2589, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1334.7883, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1334.9681, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1334.7379, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1334.4791, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1333.9653, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1333.9421, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1333.7169, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1333.2867, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.8466, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.8396, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1333.2433, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.8982, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.2302, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.0428, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.5916, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9540, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.3362, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1333.2546, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.7679, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.5428, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.4520, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.4081, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.3506, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.1838, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9053, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.1312, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.0485, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.1230, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.0054, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.0859, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.2158, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9979, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9677, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8245, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9633, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9094, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.0051, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9489, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.0686, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9901, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9440, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.0608, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9310, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8770, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7861, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.1251, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9170, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8745, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8763, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.1533, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1332.0031, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7688, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9725, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9733, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7738, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7876, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8392, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8269, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8599, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7443, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7598, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7061, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8177, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7141, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7000, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7373, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7742, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7396, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6936, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8243, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7725, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7477, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8124, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6715, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6611, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8555, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7581, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7714, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7852, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7848, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7974, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7966, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8286, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8280, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7852, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6816, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7150, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8403, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8041, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7429, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8163, device='cuda:0', grad_fn=<AddBackward0>)
[Iter 0] Epoch 1/50 – mem 3000
Loss:  tensor(1331.7030, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8207, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.9595, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6438, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6602, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6742, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8315, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8146, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8971, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7469, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8154, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7444, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6869, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7324, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7261, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6582, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6958, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8151, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6882, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7905, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7509, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7128, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7975, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7416, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7793, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6907, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7284, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6792, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8011, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7268, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6864, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.7872, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.6854, device='cuda:0', grad_fn=<AddBackward0>)
Loss:  tensor(1331.8953, device='cuda:0', grad_fn=<AddBackward0>)
